,Player,SCA,PassLive,PassDead,Drib,Sh_x,Fld_x,Def,GCA,CrdY_x,CrdR_x,2CrdY,Fls,Off_x,Crs_x,Int,TklW,Recov,Won,Dead,Str,TotDist,Ast_x,CrsPA,Touches,Succ,Att,Dis,SoT,Dist,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,G-PK,G+A-PK,Matches
19233,Josip Stanišić,17.0,14.0,1.0,0.0,2.0,0.0,0.0,1.0,1,0,0,4,0,10,11,10,54.0,7.0,65.0,0.0,8291.0,0,1.0,662.0,5.0,9.0,6.0,3,10.4,hr CRO,DF,Bayern Munich,de Bundesliga,21.0,13,6,644,7.2,1,0.14,Matches
19234,Niklas Stark,13.0,10.0,1.0,0.0,1.0,0.0,1.0,0.0,3,0,0,19,1,0,36,16,115.0,49.0,51.0,0.0,16285.0,0,0.0,1275.0,7.0,7.0,3.0,4,15.2,de GER,DFMF,Hertha BSC,de Bundesliga,26.0,26,22,2031,22.6,1,0.04,Matches
19235,Jason Steele,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,1.0,6.0,0.0,744.0,0,0.0,41.0,0.0,0.0,0.0,0,,eng ENG,GK,Brighton,eng Premier League,30.0,1,1,90,1.0,0,0.0,Matches
19236,Jed Steer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2.0,0.0,9.0,0.0,700.0,0,0.0,38.0,0.0,0.0,0.0,0,,eng ENG,GK,Aston Villa,eng Premier League,28.0,1,1,90,1.0,0,0.0,Matches
19237,Renato Steffen,35.0,26.0,1.0,1.0,1.0,4.0,2.0,2.0,6,0,0,19,0,25,13,16,57.0,17.0,44.0,0.0,5063.0,1,5.0,543.0,10.0,14.0,6.0,2,15.3,ch SUI,MFDF,Wolfsburg,de Bundesliga,29.0,20,13,967,10.7,0,0.09,Matches
19238,Zack Steffen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2.0,0.0,9.0,0.0,567.0,0,0.0,42.0,0.0,0.0,0.0,0,,us USA,GK,Manchester City,eng Premier League,26.0,1,1,90,1.0,0,0.0,Matches
19239,Calvin Stengs,40.0,29.0,7.0,2.0,2.0,0.0,0.0,3.0,1,0,0,15,2,41,8,7,57.0,2.0,32.0,0.0,4718.0,1,5.0,555.0,19.0,41.0,30.0,5,17.9,nl NED,MF,Nice,fr Ligue 1,22.0,24,11,1073,11.9,1,0.17,Matches
19240,Pascal Stenzel,18.0,14.0,3.0,0.0,1.0,0.0,0.0,0.0,1,0,0,13,0,18,11,11,84.0,13.0,122.0,0.0,12118.0,0,2.0,779.0,1.0,7.0,2.0,3,26.1,de GER,DF,Stuttgart,de Bundesliga,25.0,16,9,899,10.0,0,0.0,Matches
19241,Dale Stephens,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,5,0,0,1,1,7.0,0.0,0.0,0.0,812.0,0,0.0,71.0,0.0,0.0,0.0,0,22.8,eng ENG,MF,Burnley,eng Premier League,32.0,3,1,124,1.4,0,0.0,Matches
19242,Jack Stephens,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,8,0,0,19,12,68.0,13.0,21.0,0.0,6659.0,0,0.0,562.0,2.0,2.0,1.0,0,,eng ENG,DF,Southampton,eng Premier League,27.0,11,9,811,9.0,0,0.0,Matches
19243,Raheem Sterling,93.0,72.0,1.0,11.0,4.0,4.0,1.0,10.0,1,0,0,19,10,50,12,10,86.0,4.0,11.0,0.0,9140.0,5,9.0,1158.0,53.0,112.0,54.0,25,14.0,eng ENG,FWMF,Manchester City,eng Premier League,26.0,30,23,2128,23.6,11,0.68,Matches
19244,Finley Stevens,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0.0,1.0,0.0,0.0,82.0,0,0.0,9.0,0.0,0.0,0.0,0,,wls WAL,DF,Brentford,eng Premier League,18.0,1,0,15,0.2,0,0.0,Matches
19245,Angelo Stiller,31.0,29.0,0.0,0.0,2.0,0.0,0.0,4.0,1,0,0,25,1,17,9,17,116.0,26.0,16.0,0.0,12339.0,1,3.0,1146.0,15.0,28.0,7.0,4,17.6,de GER,MF,Hoffenheim,de Bundesliga,20.0,26,18,1693,18.8,2,0.16,Matches
19246,Lars Stindl,63.0,52.0,2.0,1.0,5.0,1.0,2.0,7.0,10,0,0,30,5,14,10,15,104.0,13.0,26.0,0.0,9932.0,5,1.0,995.0,9.0,15.0,18.0,14,18.6,de GER,MFFW,M'Gladbach,de Bundesliga,32.0,26,20,1629,18.1,4,0.5,Matches
19247,Riccardo Stivanello,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,4.0,1.0,1.0,0.0,164.0,0,0.0,21.0,0.0,0.0,0.0,0,,it ITA,DF,Bologna,it Serie A,17.0,1,0,45,0.5,0,0.0,Matches
19248,Kevin Stöger,33.0,22.0,5.0,1.0,4.0,1.0,0.0,1.0,3,0,0,9,0,31,5,5,55.0,2.0,35.0,0.0,4075.0,1,4.0,391.0,8.0,10.0,4.0,6,21.4,at AUT,MF,Mainz 05,de Bundesliga,27.0,23,1,419,4.7,1,0.43,Matches
19249,Petar Stojanović,79.0,66.0,4.0,6.0,1.0,2.0,0.0,4.0,11,1,1,45,2,68,27,63,203.0,14.0,346.0,0.0,22139.0,1,14.0,2042.0,52.0,93.0,35.0,4,21.4,si SVN,DF,Empoli,it Serie A,25.0,33,32,2735,30.4,1,0.07,Matches
19250,John Stones,13.0,12.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,3,0,3,11,3,52.0,47.0,35.0,0.0,16544.0,0,0.0,1067.0,8.0,9.0,1.0,5,13.2,eng ENG,DF,Manchester City,eng Premier League,27.0,14,12,1119,12.4,1,0.08,Matches
19251,Thomas Strakosha,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2,0,0,2,0,0,0,0,27.0,6.0,154.0,0.0,14988.0,0,0.0,780.0,0.0,0.0,0.0,0,,al ALB,GK,Lazio,it Serie A,26.0,23,23,2070,23.0,0,0.0,Matches
19252,Stefan Strandberg,11.0,8.0,2.0,0.0,1.0,0.0,0.0,1.0,2,1,1,8,1,4,9,8,57.0,30.0,52.0,0.0,9166.0,0,1.0,629.0,2.0,2.0,1.0,2,14.6,no NOR,DF,Salernitana,it Serie A,31.0,11,11,933,10.4,0,0.0,Matches
19253,Dávid Strelec,14.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,4,2,5,2,4,31.0,11.0,1.0,0.0,1411.0,0,1.0,197.0,4.0,10.0,3.0,3,14.0,sk SVK,MFFW,Spezia,it Serie A,20.0,10,7,502,5.6,1,0.18,Matches
19254,Tobias Strobl,7.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,1,0,0,6,0,2,7,3,24.0,7.0,3.0,0.0,1204.0,0,0.0,135.0,1.0,1.0,3.0,1,18.6,de GER,MFDF,Augsburg,de Bundesliga,31.0,5,4,323,3.6,0,0.0,Matches
19255,Kevin Strootman,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,4,0,0,10,0,2,10,4,42.0,5.0,19.0,0.0,5406.0,0,1.0,427.0,4.0,5.0,2.0,0,14.0,nl NED,MF,Cagliari,it Serie A,31.0,10,7,640,7.1,0,0.0,Matches
19256,Pascal Struijk,22.0,18.0,0.0,0.0,2.0,0.0,2.0,1.0,6,1,0,25,1,0,33,39,161.0,40.0,56.0,0.0,20168.0,0,0.0,1529.0,2.0,3.0,5.0,3,9.0,nl NED,DFMF,Leeds United,eng Premier League,21.0,29,22,2055,22.8,1,0.04,Matches
19257,Jens Stryger Larsen,16.0,11.0,3.0,1.0,1.0,0.0,0.0,1.0,0,0,0,3,1,20,4,2,22.0,4.0,69.0,0.0,3033.0,1,2.0,334.0,4.0,11.0,6.0,4,18.6,dk DEN,DF,Udinese,it Serie A,30.0,11,8,684,7.6,0,0.13,Matches
19258,Leo Štulac,21.0,15.0,5.0,0.0,0.0,0.0,1.0,4.0,1,0,0,7,0,25,8,6,49.0,5.0,48.0,0.0,6640.0,2,0.0,554.0,3.0,4.0,4.0,3,27.1,si SVN,MF,Empoli,it Serie A,26.0,23,8,833,9.3,2,0.43,Matches
19259,Stefano Sturaro,29.0,20.0,0.0,0.0,1.0,6.0,2.0,0.0,12,0,0,53,4,37,15,26,96.0,50.0,21.0,0.0,5723.0,0,5.0,816.0,5.0,13.0,25.0,0,19.9,it ITA,MF,Genoa,it Serie A,28.0,25,24,1766,19.6,0,0.0,Matches
19260,Damián Suárez,81.0,57.0,15.0,2.0,2.0,2.0,3.0,6.0,13,0,0,46,1,130,31,47,193.0,25.0,390.0,0.0,18712.0,3,26.0,1731.0,15.0,42.0,14.0,4,29.7,uy URU,DF,Getafe,es La Liga,33.0,35,31,2711,30.1,0,0.1,Matches
19261,Denis Suárez,101.0,67.0,20.0,6.0,4.0,2.0,2.0,12.0,4,0,0,47,1,129,16,29,186.0,13.0,221.0,0.0,26020.0,6,7.0,2334.0,42.0,82.0,17.0,8,23.4,es ESP,MF,Celta Vigo,es La Liga,27.0,38,33,2819,31.3,4,0.32,Matches
19262,Luis Suárez,37.0,26.0,0.0,2.0,5.0,2.0,2.0,7.0,7,0,0,20,12,6,1,5,42.0,19.0,38.0,0.0,5049.0,2,1.0,678.0,6.0,23.0,10.0,23,19.6,uy URU,FW,Atlético Madrid,es La Liga,34.0,35,20,1835,20.4,9,0.54,Matches
19263,Mario Suárez,8.0,4.0,0.0,0.0,3.0,0.0,1.0,0.0,2,0,0,17,0,0,7,4,55.0,29.0,12.0,0.0,5310.0,0,0.0,408.0,4.0,6.0,2.0,3,13.1,es ESP,DF,Rayo Vallecano,es La Liga,34.0,14,8,712,7.9,0,0.0,Matches
19264,Isaac Success,42.0,28.0,0.0,6.0,3.0,4.0,1.0,8.0,1,1,0,24,5,6,2,2,26.0,16.0,1.0,0.0,2668.0,6,0.0,392.0,19.0,29.0,27.0,12,17.3,ng NGA,FWMF,Udinese,it Serie A,25.0,22,11,911,10.1,2,0.79,Matches
19265,Niklas Süle,27.0,21.0,1.0,2.0,3.0,0.0,0.0,5.0,2,0,0,10,1,6,28,23,158.0,40.0,62.0,0.0,30018.0,2,1.0,1921.0,8.0,13.0,4.0,6,18.0,de GER,DF,Bayern Munich,de Bundesliga,25.0,28,19,1837,20.4,1,0.15,Matches
19266,Kamaldeen Sulemana,46.0,34.0,1.0,7.0,1.0,2.0,1.0,4.0,3,0,0,19,3,28,4,12,45.0,5.0,4.0,0.0,4559.0,2,6.0,526.0,54.0,92.0,25.0,8,20.5,gh GHA,MFFW,Rennes,fr Ligue 1,19.0,20,11,1015,11.3,4,0.53,Matches
19267,Crysencio Summerville,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,3,2,3,11.0,0.0,1.0,0.0,638.0,0,0.0,93.0,4.0,7.0,2.0,0,12.7,nl NED,MF,Leeds United,eng Premier League,19.0,6,0,130,1.4,0,0.0,Matches
19268,Vladyslav Supriaha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,22.0,0,0.0,6.0,0.0,0.0,0.0,0,,ua UKR,FW,Sampdoria,it Serie A,21.0,1,0,22,0.2,0,0.0,Matches
